Group size: 16616                                                  Group size: 17681                                                  Group size: 18817                                                  Group size: 28577
[0.149667] Гребнева Ирина Георгиевна                               [0.002145] Гудков Геннадий Владимирович                            [0.015182] Верзилов Петр Юрьевич                                   [0.062309] Сангаев Игорь Вячеславович
[0.149004] Бескоровайный Алексей Викторович                        [0.002103] Терегулов Артур Ринатович                               [0.014822] Крашенинников Федор Геннадиевич                         [0.061046] Лазуренко (Северский) Артем Сергеевич
[0.148627] Лазуренко (Северский) Артем Сергеевич                   [0.002094] Колюцкий Григорий Аркадьевич                            [0.013929] Мальцева Анастасия Анатольевна (Анастасия Хрустальная)  [0.058848] Печенев Александр Сергеевич
[0.146813] Янкаускас Константин Стасисович                         [0.002092] Кузнецов Андрей Владимирович                            [0.013434] Колесников Вадим Владимирович                           [0.058586] Радченко Всеволод Валерьевич
[0.139745] Радостева Наталья Евгеньевна                            [0.002036] Мухин Юрий Игнатьевич                                   [0.013357] Печенев Александр Сергеевич                             [0.055950] Доможиров Евгений Валерьевич
[0.138705] Богомолов Юрий Александрович                            [0.002036] Медведев Кирилл Феликсович                              [0.013010] Левченко Екатерина Валентиновна                         [0.054509] Артёмов Игорь Владимирович
[0.134269] Андреянов Сергей Николаевич                             [0.002035] Пономарев Илья Владимирович                             [0.012910] Курамшин Владимир Вячеславович                          [0.053584] Колюцкий Григорий Аркадьевич
[0.132104] Аверьянов Иван Александрович                            [0.001989] Поткин (Басманов) Владимир Анатольевич                  [0.012677] Колчинцев Вадим Валерьевич                              [0.053483] Осенин Владимир Олегович
[0.129311] Левченко Екатерина Валентиновна                         [0.001956] Немцов Борис Ефимович                                   [0.012490] Сухарева Татьяна Викторовна                             [0.049591] Матвеев Михаил Николаевич
[0.129098] Доможиров Евгений Валерьевич                            [0.001930] Ашурков Владимир Львович                                [0.012376] Отставных Валерий Владимирович                          [0.048150] Волкова Елена Ивановна
[0.128069] Шаргунов Сергей Александрович                           [0.001920] Павлов Владимир Георгиевич                              [0.012233] Крюков Василий Анатольевич                              [0.047827] Витухновская Алина Александровна
[0.127915] Образцова Алиса Сергеевна                               [0.001880] Мирзоев Владимир Владимирович                           [0.012113] Горник Александр Львович                                [0.046012] Яшин (Ясин) Игорь Геннадьевич
[0.127815] Поткин (Басманов) Владимир Анатольевич                  [0.001876] Дергачев Вадим Александрович                            [0.012071] Воробьев Станислав Анатольевич                          [0.044669] Радостева Наталья Евгеньевна
