Group size: 13106                                                  Group size: 14154                                                  Group size: 16452                                                  Group size: 17632                                                  Group size: 20347
[0.152048] Палчаев Аким Нажмудинович                               [0.014014] Курамшин Владимир Вячеславович                          [0.033741] Витухновская Алина Александровна                        [0.002348] Стариков Иван Валентинович                              [0.103187] Быстров Андрей Сергеевич
[0.151597] Быстров Андрей Сергеевич                                [0.013907] Городенцев Андрей Геннадьевич                           [0.031722] Радостева Наталья Евгеньевна                            [0.002270] Холмогорова Наталия Леонидовна                          [0.097403] Чернышева Наталья Юрьевна
[0.148100] Поткин (Басманов) Владимир Анатольевич                  [0.013614] Мальцева Анастасия Анатольевна (Анастасия Хрустальная)  [0.031423] Бескоровайный Алексей Викторович                        [0.002191] Кузин Евгений Андреевич                                 [0.092058] Гребнева Ирина Георгиевна
[0.146774] Дергачев Вадим Александрович                            [0.013604] Ольшанский Леонид Дмитриевич                            [0.030543] Митюшкина Надежда Львовна                               [0.002153] Баласанов Андрей Евгеньевич                             [0.087334] Образцова Алиса Сергеевна
[0.144979] Радостева Наталья Евгеньевна                            [0.012999] Албуров Георгий Валентинович                            [0.030437] Матвеев Михаил Николаевич                               [0.002105] Семенов Владимир Матвеевич                              [0.085991] Левшиц Николай Дмитриевич
[0.143974] Медведев Кирилл Феликсович                              [0.012814] Кара-Мурза Владимир Владимирович                        [0.027392] Овдиенко Игорь Геннадьевич                              [0.002101] Гудков Геннадий Владимирович                            [0.085966] Беззуб Алексей Юрьевич
[0.143395] Левченко Екатерина Валентиновна                         [0.012675] Кудрявцев Федор Александрович                           [0.026414] Лебедев Константин Владимирович                         [0.002098] Колюцкий Григорий Аркадьевич                            [0.083223] Палчаев Аким Нажмудинович
[0.142896] Андреянов Сергей Николаевич                             [0.012564] Давыденко Денис Вячеславович                            [0.024726] Петречук Лариса Леонидовна                              [0.002077] Терегулов Артур Ринатович                               [0.082655] Доможиров Евгений Валерьевич
[0.142881] Русакова Елена Леонидовна                               [0.012529] Газарян Сурен Владимирович                              [0.023576] Доможиров Евгений Валерьевич                            [0.002053] Кузнецов Андрей Владимирович                            [0.082428] Пушкарева Наталья Александровна
[0.140252] Спорыхина Ульяна Викторовна                             [0.011957] Удальцова Анастасия Олеговна                            [0.023297] Аверьянов Иван Александрович                            [0.002042] Медведев Кирилл Феликсович                              [0.080480] Горник Александр Львович
[0.138560] Лебедев Константин Владимирович                         [0.010983] Поткин (Басманов) Владимир Анатольевич                  [0.022526] Константинов Даниил Ильич                               [0.002041] Мухин Юрий Игнатьевич                                   [0.075548] Лазуренко (Северский) Артем Сергеевич
[0.136856] Брусиловский Максим Анатольевич                         [0.010394] Будникова Софья Владимировна                            [0.022396] Левченко Екатерина Валентиновна                         [0.001986] Пономарев Илья Владимирович                             [0.073332] Матвеев Михаил Николаевич
[0.135964] Янкаускас Константин Стасисович                         [0.010251] Пушкарева Наталья Александровна                         [0.022394] Александрова-Зорина Елизавета Борисовна                 [0.001985] Поткин (Басманов) Владимир Анатольевич                  [0.069399] Сангаев Игорь Вячеславович
[0.135570] Барабаш Кирилл Владимирович                             [0.010097] Лоскутов Артем Александрович                            [0.021975] Жиляев Арсений Александрович                            [0.001874] Немцов Борис Ефимович                                   [0.066920] Осенин Владимир Олегович
[0.135023] Богомолов Юрий Александрович                            [0.010002] Мухин Юрий Игнатьевич                                   [0.020908] Медведев Кирилл Феликсович                              [0.001869] Дергачев Вадим Александрович                            [0.066042] Андреянов Сергей Николаевич
[0.134795] Васильева Елена Борисовна                               [0.009807] Яшин (Ясин) Игорь Геннадьевич                           [0.020620] Головин Дмитрий Александрович                           [0.001818] Павлов Владимир Георгиевич                              [0.062921] Колесников Вадим Владимирович
[0.134750] Кузнецов Андрей Владимирович                            [0.008645] Сайдашев Радик Ромович                                  [0.020404] Скалаух Иван Сергеевич                                  [0.001815] Мирзоев Владимир Владимирович                           [0.062248] Колюцкий Григорий Аркадьевич
[0.131124] Образцова Алиса Сергеевна                               [0.008602] Гонгальский Максим Брониславович                        [0.020291] Кузин Евгений Андреевич                                 [0.001811] Бакиров Игорь Вакильевич                                [0.060905] Радостева Наталья Евгеньевна
