Group size: 10429                                                  Group size: 10831                                                  Group size: 12395                                                  Group size: 15060                                                  Group size: 15400                                                  Group size: 17574
[0.013664] Мальцева Анастасия Анатольевна (Анастасия Хрустальная)  [0.189998] Билунов Денис Борисович                                 [0.029980] Лукьянова Елена Анатольевна                             [0.182573] Шальнев Андрей Сергеевич                                [0.096147] Дергачев Вадим Александрович                            [0.004194] Зорин Константин Игоревич
[0.013159] Удальцов Сергей Станиславович                           [0.188357] Бакиров Игорь Вакильевич                                [0.028729] Поткин (Белов) Александр Анатольевич                    [0.182151] Отставных Валерий Владимирович                          [0.094884] Некрасов Дмитрий Александрович                          [0.004188] Витухновская Алина Александровна
[0.013100] Медведев Кирилл Феликсович                              [0.184019] Кавказский Николай Юрьевич                              [0.028528] Сахнин Алексей Викторович                               [0.181442] Бакиров Игорь Вакильевич                                [0.090429] Чернышева Наталья Юрьевна                               [0.004159] Аншаков Михаил Геннадьевич
[0.012891] Немцов Борис Ефимович                                   [0.183559] Колюцкий Григорий Аркадьевич                            [0.026805] Образцова Алиса Сергеевна                               [0.181423] Артёмов Игорь Владимирович                              [0.090305] Беззуб Алексей Юрьевич                                  [0.003751] Крылов Олег Анатольевич
[0.012590] Холмогорова Наталия Леонидовна                          [0.182360] Сангаев Игорь Вячеславович                              [0.026226] Горник Александр Львович                                [0.179254] Печенев Александр Сергеевич                             [0.090161] Горник Александр Львович                                [0.003583] Шаргунов Сергей Александрович
[0.012542] Аншаков Михаил Геннадьевич                              [0.181341] Гуляев Сергей Владимирович                              [0.026108] Будрайтскис Илья Борисович                              [0.177120] Залесский Александр Валерьевич                          [0.089655] Безруких Олег Анатольевич                               [0.003481] Шеин Олег Васильевич
[0.012224] Печенев Александр Сергеевич                             [0.179873] Немцов Борис Ефимович                                   [0.025889] Бондарик Николай Николаевич                             [0.162506] Гуляев Сергей Владимирович                              [0.089593] Кавказский Николай Юрьевич                              [0.003451] Шалимов Роман Николаевич
[0.011829] Сайдашев Радик Ромович                                  [0.177608] Романова Ольга Евгеньевна                               [0.025743] Волкова Елена Ивановна                                  [0.160927] Вистицкий Михаил Михайлович                             [0.089120] Сангаев Игорь Вячеславович                              [0.003356] Баронова Мария Николаевна
[0.011317] Кац Максим Евгеньевич                                   [0.175265] Аверьянов Иван Александрович                            [0.025368] Медведев Кирилл Феликсович                              [0.153562] Гонгальский Максим Брониславович                        [0.079749] Санников Максим Андреевич                               [0.003327] Бабченко Аркадий Аркадьевич
[0.010636] Мухин Юрий Игнатьевич                                   [0.174494] Лоскутов Артем Александрович                            [0.024834] Янкаускас Константин Стасисович                         [0.152321] Шнейдер Михаил Яковлевич                                [0.079501] Колюцкий Григорий Аркадьевич                            [0.003221] Петречук Лариса Леонидовна
